StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Intro,Repeat,Incognito,Promptly,18orOlder,Understood,WantToContinue,Age,Gender,Country,EdLevel,Major,Browser_Browser,Browser_Version,Browser_Operating System,Browser_Resolution,EdOther,workerId,hitID,assignmentId,sessionID,FL_70_DO
1/7/2021 12:06,1/7/2021 12:06,Survey Preview,,100,35,TRUE,1/7/2021 12:06,R_1oifKldsWuPNP7j,,,,,40.43249512,-79.86299896,preview,EN,a2342342342,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Female,Algeria,Masters Degree,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,mediumfov,FL_79
1/7/2021 12:38,1/7/2021 12:39,Survey Preview,,100,60,TRUE,1/7/2021 12:39,R_3HqugsfQDKPxdQm,,,,,40.43249512,-79.86299896,preview,EN,asdf234e234,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Female,Algeria,2-year College Degree,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,hardfov,FL_81
1/7/2021 12:45,1/7/2021 12:45,Survey Preview,,100,35,TRUE,1/7/2021 12:45,R_BR5YBQDSDmxeQZX,,,,,40.43249512,-79.86299896,preview,EN,worker1234,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Non-Binary,Albania,2-year College Degree,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,worker1234,,,easyfov,FL_77
1/7/2021 13:06,1/7/2021 13:07,Survey Preview,,100,35,TRUE,1/7/2021 13:07,R_2tgqUiMNb1Qby2T,,,,,40.43249512,-79.86299896,preview,EN,a234234324,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Non-Binary,Barbados,4-year College Degree,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,hardmap,FL_82
1/7/2021 13:13,1/7/2021 13:13,Survey Preview,,100,36,TRUE,1/7/2021 13:13,R_2sRLVQbUowj8him,,,,,40.45620728,-79.81629944,preview,EN,aq2werwer,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Non-Binary,Andorra,Masters Degree,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,mediummap,FL_80
1/7/2021 13:15,1/7/2021 13:15,Survey Preview,,100,38,TRUE,1/7/2021 13:15,R_3Oe9Erm4m0j8U0R,,,,,40.45620728,-79.81629944,preview,EN,a2309098,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Male,Barbados,High School / GED,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,easymap,FL_78
1/7/2021 13:17,1/7/2021 13:18,Survey Preview,,100,31,TRUE,1/7/2021 13:18,R_1nT2M6rYcIRLxur,,,,,40.43249512,-79.86299896,preview,EN,a234werwerw,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Non-Binary,Belarus,Less than High School,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,hardfov,FL_81
1/7/2021 13:39,1/7/2021 13:40,IP Address,74.98.214.227,100,42,TRUE,1/7/2021 13:40,R_1yMDjjM4CJGe3Cx,,,,,40.43249512,-79.86299896,anonymous,EN,a23424234233,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Non-Binary,Barbados,High School / GED,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,easyfov,FL_77
1/7/2021 14:29,1/7/2021 14:29,Survey Preview,,100,30,TRUE,1/7/2021 14:29,R_3MSTapXUFkKAwR2,,,,,40.43249512,-79.86299896,preview,EN,asdfasdf,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Non-Binary,Bangladesh,High School / GED,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,mediummap,FL_80
1/7/2021 14:39,1/7/2021 14:43,Survey Preview,,100,224,TRUE,1/7/2021 14:43,R_2dSG1p3LUgKxq7s,,,,,40.45620728,-79.81629944,preview,EN,a234242423423,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Non-Binary,Angola,Less than High School,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,easymap,FL_78
1/7/2021 16:32,1/7/2021 16:32,IP Address,74.98.214.227,100,39,TRUE,1/7/2021 16:32,R_bqnU4niGQqDzd0B,,,,,40.45620728,-79.81629944,anonymous,EN,a2234234565,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Female,Belize,High School / GED,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,hardmap,FL_82
1/7/2021 16:34,1/7/2021 16:35,IP Address,74.98.214.227,100,28,TRUE,1/7/2021 16:35,R_2Ck0RlCs26Cugwj,,,,,40.43249512,-79.86299896,anonymous,EN,kilkuhoiuhoiuh,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Female,Belarus,Some College,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,mediumfov,FL_79
1/7/2021 16:35,1/7/2021 16:36,IP Address,74.98.214.227,100,28,TRUE,1/7/2021 16:36,R_1eyDuLvKUgHVzF2,,,,,40.45620728,-79.81629944,anonymous,EN,qawerqwerwere,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Female,Angola,Masters Degree,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,hardfov,FL_81
1/7/2021 17:18,1/7/2021 17:19,IP Address,74.98.214.227,100,36,TRUE,1/7/2021 17:19,R_3Rrys9kb8EKFN2S,,,,,40.45620728,-79.81629944,anonymous,EN,a2343243242,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Prefer not to answer,Belarus,Less than High School,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,hardmap,FL_82
1/8/2021 10:50,1/8/2021 10:53,IP Address,98.37.76.135,100,167,TRUE,1/8/2021 10:53,R_3MxMGtUVpc9C6an,,,,,37.80839539,-122.2845993,anonymous,EN,A2OPYRV3GLAPS1,TRUE,TRUE,TRUE,Yes,Yes,Yes,32,Male,United States of America,Masters Degree,Social Anthropology,Chrome,87.0.4280.88,Macintosh,1680x1050,,A2OPYRV3GLAPS1,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,36V4Q8R5ZK0V43M5E39P4FHHJ0SQMI,easyfov,FL_77
1/8/2021 10:53,1/8/2021 10:54,Spam,98.37.76.135,100,42,TRUE,1/8/2021 10:54,R_3lE2aY8KYPH3wHp,,,,,37.80839539,-122.2845993,anonymous,EN,A2OPYRV3GLAPS1,TRUE,TRUE,TRUE,Yes,Yes,Yes,32,Male,United States of America,Masters Degree,Social Anthropology,Chrome,87.0.4280.88,Macintosh,1680x1050,,A2OPYRV3GLAPS1,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,36V4Q8R5ZK0V43M5E39P4FHHJ0SQMI,easymap,FL_78
1/8/2021 10:49,1/8/2021 10:55,IP Address,184.83.102.228,100,307,TRUE,1/8/2021 10:55,R_2zceUvTCYBkFTHp,,,,,43.52349854,-96.7385025,anonymous,EN,ABW8U1U74P8MI,TRUE,TRUE,TRUE,Yes,Yes,Yes,27,Male,United States of America,4-year College Degree,Psychology,Firefox,84,Windows NT 6.3,1366x768,,ABW8U1U74P8MI,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,3P529IW9KYLE7WEB0BXGS3YECTTLFH,mediummap,FL_80
1/8/2021 10:56,1/8/2021 10:57,IP Address,184.83.102.228,100,57,TRUE,1/8/2021 10:57,R_28MNQLuUqH43CyD,,,,,43.52349854,-96.7385025,anonymous,EN,ABW8U1U74P8MI,TRUE,TRUE,TRUE,Yes,Yes,Yes,27,Male,United States of America,4-year College Degree,Psychology,Chrome,87.0.4280.88,Windows NT 6.3,1366x768,,ABW8U1U74P8MI,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,3P529IW9KYLE7WEB0BXGS3YECTTLFH,mediumfov,FL_79
1/8/2021 10:57,1/8/2021 10:58,Spam,184.83.102.228,100,49,TRUE,1/8/2021 10:58,R_Z312wPV6fagS8al,,,,,43.52349854,-96.7385025,anonymous,EN,ABW8U1U74P8MI,TRUE,TRUE,TRUE,Yes,Yes,Yes,27,Male,United States of America,4-year College Degree,Psychology,Chrome,87.0.4280.88,Windows NT 6.3,1366x768,,ABW8U1U74P8MI,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,3P529IW9KYLE7WEB0BXGS3YECTTLFH,easyfov,FL_77
1/8/2021 10:59,1/8/2021 11:04,IP Address,73.3.216.2,100,341,TRUE,1/8/2021 11:04,R_qLekfWpTFXNrI8V,,,,,39.70669556,-104.9693985,anonymous,EN,A1YZ0ETOCJO1B2,TRUE,TRUE,TRUE,Yes,Yes,Yes,36,Male,United States of America,4-year College Degree,Computer Science,Chrome,87.0.4280.88,Windows NT 10.0,1440x900,,A1YZ0ETOCJO1B2,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,340UGXU9DY16MJNV94UL1CXJDEAVU9,mediummap,FL_80
1/8/2021 11:05,1/8/2021 11:06,Spam,73.3.216.2,100,46,TRUE,1/8/2021 11:06,R_2DMjGg7MygInXHz,,,,,39.70669556,-104.9693985,anonymous,EN,A1YZ0ETOCJO1B2,TRUE,TRUE,TRUE,Yes,Yes,Yes,36,Male,United States of America,4-year College Degree,Computer Science,Chrome,87.0.4280.88,Windows NT 10.0,1440x900,,A1YZ0ETOCJO1B2,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,340UGXU9DY16MJNV94UL1CXJDEAVU9,mediumfov,FL_79
1/8/2021 11:09,1/8/2021 11:11,Spam,73.3.216.2,100,114,TRUE,1/8/2021 11:11,R_1C91Nx4y33z6Fpx,,,,,39.70669556,-104.9693985,anonymous,EN,A1YZ0ETOCJO1B2,TRUE,TRUE,TRUE,Yes,Yes,Yes,36,Male,United States of America,4-year College Degree,Computer Science,Chrome,87.0.4280.88,Windows NT 10.0,1440x900,,A1YZ0ETOCJO1B2,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,340UGXU9DY16MJNV94UL1CXJDEAVU9,easymap,FL_78
1/8/2021 11:13,1/8/2021 11:16,IP Address,98.214.171.119,100,149,TRUE,1/8/2021 11:16,R_sqaF5ZJyrH9pHaN,,,,,40.76870728,-89.60240173,anonymous,EN,AQJWO4YPR3LUQ,TRUE,TRUE,TRUE,Yes,Yes,Yes,40,Female,United States of America,2-year College Degree,Cosmetology,Chrome,87.0.4280.88,Windows NT 10.0,1920x1080,,AQJWO4YPR3LUQ,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,354GIDR5ZB6ADWAZ80SCRCJM3TU00K,hardfov,FL_81
1/8/2021 11:16,1/8/2021 11:28,IP Address,71.63.47.189,100,738,TRUE,1/8/2021 11:28,R_2YE6zZmoVdYWipY,,,,,37.33920288,-77.41750336,anonymous,EN,A2OVX9UW5WANQE,TRUE,TRUE,TRUE,Yes,Yes,Yes,47,Female,United States of America,2-year College Degree,paralegal,Chrome,87.0.4280.88,Windows NT 10.0,1536x864,,A2OVX9UW5WANQE,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,340UGXU9DY16MJNV94UL1CXJDEAVU9,hardmap,FL_82
1/8/2021 11:27,1/8/2021 11:29,IP Address,96.28.214.181,100,127,TRUE,1/8/2021 11:29,R_3fwSQQaAlM1VTGL,,,,,38.08959961,-85.84909821,anonymous,EN,A34DYM8J0X5VK,TRUE,TRUE,TRUE,Yes,Yes,Yes,43,Male,United States of America,Some College,Psychology ,Chrome,87.0.4280.141,Windows NT 10.0,1280x800,,A34DYM8J0X5VK,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,36V4Q8R5ZK0V43M5E39P4FHHJ0SQMI,hardfov,FL_81
1/8/2021 11:29,1/8/2021 11:30,IP Address,96.28.214.181,100,51,TRUE,1/8/2021 11:30,R_qE20n6xwFXQddDj,,,,,38.08959961,-85.84909821,anonymous,EN,A34DYM8J0X5VK,TRUE,TRUE,TRUE,Yes,Yes,Yes,43,Male,United States of America,Some College,Psychology,Chrome,87.0.4280.141,Windows NT 10.0,1280x800,,A34DYM8J0X5VK,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,36V4Q8R5ZK0V43M5E39P4FHHJ0SQMI,mediummap,FL_80
1/8/2021 11:28,1/8/2021 11:33,IP Address,108.200.221.90,100,319,TRUE,1/8/2021 11:33,R_uaYdQq4MVDumuL7,,,,,28.20620728,-80.68740082,anonymous,EN,A26LOVXF4QZZCO,TRUE,TRUE,TRUE,Yes,Yes,Yes,48,Male,United States of America,4-year College Degree,Accounting,Chrome,87.0.4280.88,Windows NT 10.0,1920x1080,,A26LOVXF4QZZCO,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,354GIDR5ZB6ADWAZ80SCRCJM3TU00K,easyfov,FL_77
1/8/2021 11:34,1/8/2021 11:34,Spam,108.200.221.90,100,36,TRUE,1/8/2021 11:34,R_pucYu8zbRVDRIGJ,,,,,28.20620728,-80.68740082,anonymous,EN,A26LOVXF4QZZCO,TRUE,TRUE,TRUE,Yes,Yes,Yes,48,Male,United States of America,4-year College Degree,Accounting,Chrome,87.0.4280.88,Windows NT 10.0,1920x1080,,A26LOVXF4QZZCO,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,354GIDR5ZB6ADWAZ80SCRCJM3TU00K,mediumfov,FL_79
1/8/2021 11:34,1/8/2021 11:35,Spam,108.200.221.90,100,35,TRUE,1/8/2021 11:35,R_1FJww2sGNguOVns,,,,,28.20620728,-80.68740082,anonymous,EN,A26LOVXF4QZZCO,TRUE,TRUE,TRUE,Yes,Yes,Yes,48,Male,United States of America,4-year College Degree,Accounting,Chrome,87.0.4280.88,Windows NT 10.0,1920x1080,,A26LOVXF4QZZCO,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,354GIDR5ZB6ADWAZ80SCRCJM3TU00K,easymap,FL_78
1/8/2021 11:40,1/8/2021 11:41,IP Address,38.111.180.18,100,53,TRUE,1/8/2021 11:41,R_2YEXCEoenB6jayV,,,,,39.9624939,-83.00610352,anonymous,EN,A7P3R1AIA4TVV,TRUE,TRUE,TRUE,Yes,Yes,Yes,36,Male,United States of America,Some College,Journalism,Chrome,87.0.4280.88,Windows NT 10.0,1280x1024,,A7P3R1AIA4TVV,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,379J5II41OGM1IEF50DAALDE0SELEZ,hardmap,FL_82
1/8/2021 11:57,1/8/2021 11:59,IP Address,71.61.18.143,100,146,TRUE,1/8/2021 11:59,R_Ab1zHvvXPWvFJFD,,,,,40.27549744,-80.05979919,anonymous,EN,AMLZT92RF3MYY,TRUE,TRUE,TRUE,Yes,Yes,Yes,39,Male,United States of America,4-year College Degree,Computer Science,Chrome,87.0.4280.88,Windows NT 10.0,1920x1080,,AMLZT92RF3MYY,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,3P529IW9KYLE7WEB0BXGS3YECTTLFH,hardfov,FL_81
1/8/2021 12:05,1/8/2021 12:07,IP Address,68.119.43.1,100,116,TRUE,1/8/2021 12:07,R_22K2xBRVdn5I951,,,,,35.75320435,-81.32640076,anonymous,EN,A3FOKP72T5I4FR,TRUE,TRUE,TRUE,Yes,Yes,Yes,41,Female,United States of America,2-year College Degree,business,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,A3FOKP72T5I4FR,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,36V4Q8R5ZK0V43M5E39P4FHHJ0SQMI,hardmap,FL_82
1/8/2021 12:17,1/8/2021 12:20,IP Address,73.136.155.223,100,185,TRUE,1/8/2021 12:20,R_3L8eR1tJYsSad2w,,,,,29.6730957,-95.58560181,anonymous,EN,A1F1TBDHPYAAXT,TRUE,TRUE,TRUE,Yes,Yes,Yes,71,Male,United States of America,4-year College Degree,Chemistry,Chrome,87.0.4280.141,Windows NT 6.1,1536x864,,A1F1TBDHPYAAXT,39O6Z4JLX2XWH3JWO706XZ0SIV5VXV,36V4Q8R5ZK0V43M5E39P4FHHJ0SQMI,easymap,FL_78
